State Code,Display Name,Population,GDP in Millions
AL,Alabama,4903185,217370
AK,Alaska,731545,53563
AZ,Arizona,7278717,340673
AR,Arkansas,3017804,126089
CA,California,39512223,2928096
CO,Colorado,5758736,362721
CT,Connecticut,3565287,272854
DE,Delaware,973764,72091
DC,District of Columbia,705749,138469
FL,Florida,21477737,1020177
GA,Georgia,10617423,579993
HI,Hawaii,1415872,91947
ID,Idaho,1787065,75435
IL,Illinois,12671821,851327
IN,Indiana,6732219,361794
IO,Iowa,3155070,186653
KS,Kansas,2913314,165477
KY,Kentucky,4467673,204567
LA,Louisiana,4648794,251745
ME,Maine,1344212,63698
MD,Maryland,6045680,405573
MA,Massachusetts,6892503,558472
MI,Michigan,9986857,519926
MN,Minnesota,5639632,360357
MS,Mississippi,2976149,112674
MO,Missouri,6137428,312514
MT,Montana,1068778,49190
NE,Nebraska,1934408,123942
NV,Nevada,3080156,165443
NH,New Hampshire,1359711,83379
NJ,New Jersey,8882190,612202
NM,New Mexico,2096829,97489
NY,New York,19453561,1643466
NC,North Carolina,10488084,552000
ND,North Dakota,762062,54380
OH,Ohio,11689100,662321
OK,Oklahoma,3956971,198108
OR,Oregon,4217737,234832
PA,Pennsylvania,12801989,766322
RI,Rhode Island,1059361,59734
SC,South Carolina,5148714,228541
SD,South Dakota,884659,51214
TN,Tennessee,6829174,355119
TX,Texas,28995881,1751027
UT,Utah,3205958,174344
VT,Vermont,623989,32726
VI,Virginia,8535519,523334
WA,Washington,7614893,549578
WV,West Virginia,1792147,75115
WI,Wisconsin,5822434,331469
WY,Wyoming,578759,38431
